Artist_ID,Model,MSE,MAE,RMSE,MAPE
436lvfnz,XGBoost,1325003881.7360642,33822.94995535715,36400.60276610903,0.20786150365552922
5jwhbt0o,XGBoost,26027331.362122785,3250.645284598214,5101.6988701924365,0.28125614133128396
5t4iv6o3,XGBoost,2205998408.742137,45620.15285714285,46968.057323484616,0.13483917503540263
65m1vtnc,XGBoost,11620647343.944742,92208.58722222224,107799.1064153351,0.1307339846021588
67gc5xm9,XGBoost,3274676770.937461,49809.27805555556,57224.79157618192,0.12491064818728617
6ygz70qs,XGBoost,1667685.3603852512,1132.4171571180552,1291.3889268478538,0.14139758905553682
al0gcvtm,XGBoost,774735616.5789793,23250.314861111117,27834.07294268985,0.051727052028958075
awrkf92m,XGBoost,200135.45576690588,322.8405737304688,447.3650140175312,0.18076837987712852
bpgx7194,XGBoost,13588747283.64243,91514.38444444445,116570.78228974201,0.1465979783436496
hfiatnv8,XGBoost,466623.6444794283,655.5433830915179,683.0985613214452,0.25765765431746146
jla6nu3p,XGBoost,821847.5414746541,792.0817829241072,906.5580739669434,0.20129080859019216
k74pw1av,XGBoost,10168515841.596523,88886.245,100839.05910705694,0.12217780827136131
kcw3uapo,XGBoost,9917699.154192135,2564.223861607143,3149.2378687854202,0.11213878486694943
pymr5w10,XGBoost,36342111.57068061,5105.658370535713,6028.441885817646,0.4072511224530366
r976ytqo,XGBoost,284318.55447923444,470.7263448660715,533.2152984294753,0.06766123763352744
